Date,Close,Adj Close,Volume,Open,High,Low
01/11/2023,13.5,0,126700,14.45,14.45,13.5
31/10/2023,14.5,0,105700,14.55,14.7,14.25
30/10/2023,14.95,0,60600,15.1,15.1,14.6
27/10/2023,15,0,54400,15,15,14.75
26/10/2023,14.85,0,194200,15,15.4,14.65
25/10/2023,15.55,0,93100,15.5,15.8,15.35
24/10/2023,15.5,0,40900,15.4,15.5,15.1
23/10/2023,15.4,0,81600,15.45,15.5,15
20/10/2023,15.5,0,260000,14.9,15.5,14.9
19/10/2023,15,0,149300,15.3,15.3,14.95
18/10/2023,15.15,0,214300,15.2,15.4,14.9
17/10/2023,15.3,0,84000,15.7,15.7,15.3
16/10/2023,15.55,0,64200,15.5,15.7,15.45
13/10/2023,15.5,0,183400,15.4,15.7,15.4
12/10/2023,15.6,0,84100,15.9,15.9,15.6
11/10/2023,15.85,0,61200,15.9,15.9,15.7
10/10/2023,15.9,0,168400,15.7,15.9,15.7
09/10/2023,15.65,0,132400,15.7,15.7,15.65
06/10/2023,15.7,0,321000,15.55,16.6,15.45
05/10/2023,15.75,0,67700,15.9,15.95,15.6
04/10/2023,15.9,0,61900,15.1,15.9,15.1
03/10/2023,15.6,0,212200,15.85,15.85,15.5
02/10/2023,15.85,0,163700,16,16.25,15.6
29/09/2023,16.2,0,130500,15.95,16.3,15.7
28/09/2023,16,0,120100,15.7,16,15.4
27/09/2023,15.8,0,185800,15.3,15.8,15.15
26/09/2023,15.25,0,440800,15,15.5,14.85
25/09/2023,15.15,0,354905,15.95,16,15.15
22/09/2023,16.1,0,294300,16.05,16.3,15.8
21/09/2023,16.35,0,265800,16.6,16.7,16.05
20/09/2023,16.45,0,574600,16.35,16.8,16
19/09/2023,16.4,0,163700,16.4,16.45,16
18/09/2023,16.45,0,285400,16.1,16.7,15.8
15/09/2023,16.05,0,111900,16.1,16.15,15.85
14/09/2023,16.1,0,342100,16.2,16.35,15.7
13/09/2023,16.2,0,228400,16.1,16.45,16.1
12/09/2023,16.1,0,351200,16,16.25,15.75
11/09/2023,16,0,462000,17,17,16
08/09/2023,16.8,0,592700,16.2,17.2,16.15
07/09/2023,16.1,0,378300,16.4,16.4,16.05
06/09/2023,16.35,0,237800,16.5,16.5,16.2
05/09/2023,16.55,0,299200,16.5,16.65,16.35
31/08/2023,16.5,0,383600,16.35,16.5,16.1
30/08/2023,16.2,0,309300,16.25,16.5,16
29/08/2023,16.1,0,231600,16.2,16.25,16
28/08/2023,16.25,0,162400,16.3,16.4,15.95
25/08/2023,16.3,0,181000,16,16.5,16
24/08/2023,16.4,0,101700,16.1,16.4,16.05
23/08/2023,16.4,0,380000,15.6,16.6,15.5
22/08/2023,15.6,0,265300,15.5,15.6,15
21/08/2023,15.6,0,289300,15.5,15.75,15.5
18/08/2023,15.75,0,1250400,15.95,16,15.1
17/08/2023,16.2,0,830900,16.95,17.05,16.2
16/08/2023,17.1,0,149000,17,17.25,16.9
15/08/2023,17.1,0,313000,17.3,17.4,16.95
14/08/2023,17.05,0,264900,17.1,17.35,17
11/08/2023,17,0,525700,16.8,17.4,16.5
10/08/2023,16.8,0,469200,17.4,17.45,16.8
09/08/2023,17.45,0,341900,17.25,17.5,17.25
08/08/2023,17.35,0,464300,17.6,17.6,17.2
07/08/2023,17.6,0,319600,17.7,17.7,17.45
04/08/2023,17.7,0,311500,17.9,17.9,17.55
03/08/2023,17.85,0,358400,17.9,17.9,17.6
02/08/2023,17.85,0,533100,18,18,17.3
01/08/2023,17.95,0,472100,18.1,18.4,17.85
31/07/2023,18.1,0,588200,18.25,18.5,17.9
28/07/2023,18.35,0,369100,18.5,18.7,18.15
27/07/2023,18.5,0,728100,19,19.05,18.2
26/07/2023,19,0,364400,19.15,19.2,18.8
25/07/2023,19.15,0,852500,18.5,19.4,18.45
24/07/2023,18.55,0,429300,18.5,18.85,18.4
21/07/2023,18.7,0,296900,18.6,18.7,18.45
20/07/2023,18.45,0,505900,18.5,18.6,18.1
19/07/2023,18.6,0,357500,18.55,18.9,18.45
18/07/2023,18.6,0,557700,19,19.05,18.5
17/07/2023,19,0,639900,19.45,19.45,18.9
14/07/2023,19.25,0,727600,19,19.7,19
13/07/2023,19.1,0,620600,19.1,19.4,18.9
12/07/2023,19.1,0,701500,19.2,19.4,18.6
11/07/2023,19.1,0,848800,19.4,19.5,18.8
10/07/2023,18.9,0,1048600,18.2,18.9,18.2
07/07/2023,17.7,0,264700,17.7,17.85,17.3
06/07/2023,17.7,0,358400,17.6,18,17.5
05/07/2023,17.9,0,447100,18,18.2,17.75
04/07/2023,17.75,0,162900,17.7,17.8,17.55
03/07/2023,17.7,0,281300,17.65,17.7,17.3
30/06/2023,17.25,0,236500,17.5,17.5,17.2
29/06/2023,17.5,0,674000,17.9,18,17.2
28/06/2023,18,0,781900,17.9,18.45,17.9
27/06/2023,18,0,282200,18,18,17.8
26/06/2023,18,0,533600,18,18.2,17.65
23/06/2023,18,0,705600,18.35,18.4,17.85
22/06/2023,18.3,0,620500,18.4,18.4,18
21/06/2023,18.2,0,1410100,17.3,18.4,17.3
20/06/2023,17.35,0,175200,17.4,17.4,17.1
19/06/2023,17.1,0,479500,17.3,17.5,17.05
16/06/2023,17.4,0,618900,17.45,17.8,17.35
15/06/2023,17.35,0,956200,17.1,17.5,17
14/06/2023,17,0,531000,17.6,17.8,17
13/06/2023,17.6,0,660900,17.6,17.9,17
12/06/2023,17.4,0,663700,16.85,17.5,16.85
09/06/2023,16.85,0,822500,16.4,16.9,16.4
08/06/2023,16.5,0,1245600,17.3,17.3,16.5
07/06/2023,17.3,0,764800,17.4,17.7,17
06/06/2023,17.55,0,700200,17.2,17.6,16.85
05/06/2023,17.2,0,1512600,18.2,18.25,17.05
02/06/2023,18.15,0,568900,18.5,18.5,18.1
01/06/2023,18.15,0,565100,18.55,18.6,18.1
31/05/2023,18.5,0,624600,18.35,18.55,18.1
30/05/2023,18.1,0,719400,18.5,18.6,17.95
29/05/2023,18.6,0,1382900,18.25,18.65,17.9
26/05/2023,18.5,0,1115500,18.9,18.9,18.2
25/05/2023,19.25,18.15,1025400,19.4,19.6,18.8
24/05/2023,19.25,18.15,1019400,18.65,19.55,18.65
23/05/2023,18.95,17.87,1328900,19.05,19.2,18.25
22/05/2023,18.95,17.87,2553300,18.95,18.95,18.1
19/05/2023,17.75,16.74,1833900,16.2,17.75,16.2
18/05/2023,16.6,15.65,1210500,15.7,16.6,15.6
17/05/2023,15.7,14.8,431300,15.7,16.1,15.65
16/05/2023,15.7,14.8,456800,16.15,16.15,15.7
15/05/2023,16.1,15.18,1990000,15.2,16.5,15.1
12/05/2023,15.95,15.04,731800,15.1,16.1,15.1
11/05/2023,15.05,14.19,454600,14.75,15.1,14.7
10/05/2023,14.8,13.95,320600,14.65,14.9,14.65
09/05/2023,14.85,14,888700,14.65,14.95,14.6
08/05/2023,14.75,13.91,198800,14.7,14.9,14.7
05/05/2023,14.85,14,370300,14.55,14.95,14.55
04/05/2023,14.7,13.86,149700,14.85,15,14.6
28/04/2023,15.2,14.33,727300,14.6,15.9,14.6
27/04/2023,15.2,14.33,494000,14.5,15.2,14.5
26/04/2023,14.95,14.1,281200,14.45,14.95,14.45
25/04/2023,14.85,14,127400,14.6,14.85,14.55
24/04/2023,14.85,14,98700,14.9,14.9,14.55
21/04/2023,14.85,14,117700,15,15.15,14.85
20/04/2023,15.1,14.24,245200,15,15.2,14.9
19/04/2023,15.2,14.33,328900,14.9,15.2,14.9
18/04/2023,15.05,14.19,224700,14.85,15.1,14.85
17/04/2023,14.9,14.05,263900,14.55,14.95,14.55
14/04/2023,14.8,13.95,212300,14.6,14.8,14.4
13/04/2023,14.65,13.81,149600,14.85,14.85,14.4
12/04/2023,14.85,14,68300,14.85,15,14.7
11/04/2023,14.9,14.05,316000,14.35,15.3,14.3
10/04/2023,15.2,14.33,786300,14.15,15.7,14.15
07/04/2023,15,14.14,800400,14.2,15,13.9
06/04/2023,14.45,13.62,393100,14.2,14.8,14
05/04/2023,14.3,13.48,203000,14.6,14.95,14.3
04/04/2023,14.7,13.86,127400,14.65,15,14.5
03/04/2023,14.8,13.95,140200,15.2,15.4,14.7
31/03/2023,15.2,14.33,126000,15.25,15.8,15.2
30/03/2023,15.8,14.9,268500,16.2,16.2,15.05
29/03/2023,15.15,14.28,236800,14.45,15.25,14.45
28/03/2023,15.05,14.19,242700,14.8,15.2,14.2
27/03/2023,14.8,13.95,164500,14.6,14.8,14
24/03/2023,14.4,13.58,227000,13.75,14.7,13.75
23/03/2023,14.2,13.39,76900,13.9,14.25,13.7
22/03/2023,13.9,13.11,11100,13.85,14,13.85
21/03/2023,14.05,13.25,35700,13.95,14.05,13.8
20/03/2023,14,13.2,44800,14.2,14.3,13.8
17/03/2023,14.2,13.39,114900,13.95,14.7,13.8
16/03/2023,13.8,13.01,30100,13.75,13.9,13.75
15/03/2023,14.05,13.25,145600,13.7,14.1,13.65
14/03/2023,13.7,12.92,145600,13.75,13.85,13.6
13/03/2023,13.7,12.92,389100,13.6,13.75,13.5
10/03/2023,13.65,12.87,129300,13.6,13.65,13.6
09/03/2023,13.65,12.87,65200,13.7,13.7,13.6
08/03/2023,13.6,12.82,75600,13.7,13.7,13.55
07/03/2023,13.6,12.82,24800,13.8,13.8,13.6
06/03/2023,13.7,12.92,194400,13.65,13.75,13.6
03/03/2023,13.75,12.96,55600,13.7,13.9,13.6
02/03/2023,13.85,13.06,23100,13.9,13.9,13.7
01/03/2023,13.85,13.06,47100,13.7,13.9,13.6
28/02/2023,13.95,13.15,50200,13.7,13.95,13.6
27/02/2023,13.75,12.96,33900,13.65,13.9,13.6
24/02/2023,13.95,13.15,47600,13.6,13.95,13.6
23/02/2023,13.7,12.92,133400,13.75,13.75,13.55
22/02/2023,13.75,12.96,37000,13.7,13.75,13.6
21/02/2023,13.8,13.01,74200,13.7,13.9,13.6
20/02/2023,13.7,12.92,74600,13.55,13.7,13.4
17/02/2023,13.55,12.78,33200,13.45,13.8,13.45
16/02/2023,13.7,12.92,15800,13.6,13.8,13.3
15/02/2023,13.6,12.82,38600,13.5,13.6,13.4
14/02/2023,13.45,12.68,18300,13.4,13.7,13.4
13/02/2023,13.6,12.82,52100,13.95,13.95,13.1
10/02/2023,13.7,12.92,22400,13.7,13.75,13.55
09/02/2023,13.7,12.92,57300,13.75,14.05,13.5
08/02/2023,13.9,13.11,25300,14.1,14.1,13.5
07/02/2023,13.8,13.01,50800,13.7,14,13.5
06/02/2023,13.75,12.96,60900,13.8,13.8,13.7
03/02/2023,13.7,12.92,148100,13.85,14.1,13.7
02/02/2023,13.9,13.11,165500,14.2,14.25,13.8
01/02/2023,14.2,13.39,173600,14.7,14.7,14.2
31/01/2023,14.6,13.77,300900,13.9,14.6,13.9
30/01/2023,13.9,13.11,196500,13.6,14,13.6
27/01/2023,13.85,13.06,36900,13.9,14.2,13.8
19/01/2023,13.85,13.06,87800,13.65,14,13.65
18/01/2023,13.75,12.96,56600,13.6,13.9,13.6
17/01/2023,13.75,12.96,72600,13.9,13.9,13.7
16/01/2023,13.85,13.06,32600,13.85,13.95,13.6
13/01/2023,13.85,13.06,33000,13.85,14,13.8
12/01/2023,13.85,13.06,42200,14,14,13.8
11/01/2023,14,13.2,70200,14,14.05,13.95
10/01/2023,14,13.2,41300,13.9,14,13.7
09/01/2023,13.9,13.11,75800,14.2,14.2,13.9
06/01/2023,14,13.2,97300,14,14.35,14
05/01/2023,14,13.2,54400,13.9,14.2,13.9
04/01/2023,13.9,13.11,66600,13.9,14.3,13.9
03/01/2023,13.85,13.06,90800,13.85,14.2,13.85
30/12/2022,14.3,13.48,114800,13.9,14.4,13.5
29/12/2022,14.2,13.39,47500,13.95,14.5,13.95
28/12/2022,14.45,13.62,35900,13.8,14.5,13.8
27/12/2022,14.05,13.25,31200,14.6,14.6,13.65
26/12/2022,14.6,13.77,103800,14.15,14.8,13.9
23/12/2022,14.55,13.72,299000,14.5,14.8,14.5
22/12/2022,14.6,13.77,407200,14.35,14.7,14.35
21/12/2022,14.35,13.53,126900,14.1,14.45,14
20/12/2022,14.2,13.39,183700,14.05,14.5,13.8
19/12/2022,14.1,13.29,176500,14.5,15,14.1
16/12/2022,14.8,13.95,344700,14.3,14.85,14.3
15/12/2022,14.8,13.95,340200,13.5,14.8,13.5
14/12/2022,14.2,13.39,400900,13.7,14.2,13.55
13/12/2022,13.7,12.92,79400,13.25,13.8,13.25
12/12/2022,13.6,12.82,67900,13.7,14,13.3
09/12/2022,13.7,12.92,7800,13.8,13.95,13.7
08/12/2022,13.8,13.01,39100,14.1,14.1,13.75
07/12/2022,13.9,13.11,63500,13.6,14.05,13.6
06/12/2022,13.9,13.11,96200,13.8,14.4,13.75
05/12/2022,14.2,13.39,46800,14.4,14.4,13.8
02/12/2022,14.15,13.34,106700,13.9,14.2,13.55
01/12/2022,13.9,13.11,80700,14.65,14.65,13.9
30/11/2022,14.25,13.44,112100,13.8,14.6,13
29/11/2022,13.85,13.06,79400,14.1,14.3,13.45
28/11/2022,14,13.2,134500,13.55,14.1,13.5
25/11/2022,13.45,12.68,36600,13.25,13.45,13
24/11/2022,12.85,12.12,18600,12.5,13,12.5
23/11/2022,12.95,12.21,23600,13.1,13.45,12.9
22/11/2022,13.25,12.49,30700,13,13.8,13
21/11/2022,13.4,12.63,24000,13.15,13.55,12.85
18/11/2022,13.15,12.4,86300,12.85,13.2,12.5
17/11/2022,12.85,12.12,11300,12.3,12.85,12.3
16/11/2022,12.35,11.64,56800,10.9,12.35,10.8
15/11/2022,11.55,10.89,154700,12,12.1,11.55
14/11/2022,12.4,11.69,66000,12.65,13,12.4
11/11/2022,13.3,12.54,66000,13.1,13.4,12.9
10/11/2022,13.35,12.59,84800,13.4,13.7,12.5
09/11/2022,13.4,12.63,15300,13.45,13.85,13.4
08/11/2022,13.1,12.35,21100,13.05,13.35,12.7
07/11/2022,13.15,12.4,34500,14,14.2,13.15
