Date,Close,Adj Close,Volume,Open,High,Low
01/11/2023,21.85,0,"1,188,500",21,22,20.7
31/10/2023,22.25,0,"1,132,200",22.95,23.3,22.25
30/10/2023,23.9,0,"266,800",24.7,25,23.9
27/10/2023,24.7,0,"1,286,600",25.3,25.9,24
26/10/2023,25.8,0,"859,000",27.2,27.2,25.8
25/10/2023,27.7,0,"382,600",28.2,28.35,27.6
24/10/2023,27.85,0,"358,400",27.3,27.85,27.1
23/10/2023,27.3,0,"405,000",27.8,28.2,27
20/10/2023,28,0,"817,700",27,28,26
19/10/2023,27.15,0,"822,600",28.35,28.35,27
18/10/2023,28.35,0,"1,438,900",30.55,30.6,28.35
17/10/2023,30.45,0,"1,380,200",33,33,30.45
16/10/2023,32.7,0,"944,200",34,34.15,32.7
13/10/2023,33.9,0,"1,349,500",32.4,34.1,32.4
12/10/2023,32.9,0,"902,600",33.4,33.4,32.4
11/10/2023,33,0,"596,400",32.8,33.2,32.2
10/10/2023,32.55,0,"1,541,900",32.3,33.8,31.9
09/10/2023,31.9,0,"681,800",31.35,31.9,31.3
06/10/2023,31.2,0,"626,800",30.9,31.35,30.2
05/10/2023,31,0,"998,700",31.65,32.4,30.7
04/10/2023,31.6,0,"792,900",29.5,32,29.5
03/10/2023,30.9,0,"1,480,100",32.45,32.45,30.5
02/10/2023,32.65,0,"1,187,100",31.95,33.5,31.85
29/09/2023,31.9,0,"1,103,600",32.5,32.5,31.75
28/09/2023,31.85,0,"954,000",32,32.7,31.5
27/09/2023,32,0,"1,232,300",30.5,32,30.3
26/09/2023,31.2,0,"2,565,600",32,32.95,31.2
25/09/2023,33.5,0,"1,564,000",36,36,33.5
22/09/2023,36,0,"2,942,300",34.5,37.5,34.45
21/09/2023,35.3,0,"1,747,700",35.7,36.3,35.2
20/09/2023,35.05,0,"1,177,200",33.15,35.05,33
19/09/2023,32.8,0,"979,500",32.8,32.85,31.9
18/09/2023,32.3,0,"1,291,900",32,32.9,31.7
15/09/2023,32,0,"569,800",31.7,32.1,31.1
14/09/2023,31.65,0,"1,084,000",32.6,32.8,31.5
13/09/2023,32.55,0,"1,016,200",33.3,33.3,32.5
12/09/2023,32.9,0,"764,300",32.25,32.9,31.55
11/09/2023,32.1,0,"1,906,900",34,34.25,32.1
08/09/2023,33.5,0,"1,440,700",33,34.3,32.9
07/09/2023,32.95,0,"1,296,100",32.55,32.95,32.3
06/09/2023,32.3,0,"1,157,200",31.7,32.4,31.5
05/09/2023,31.7,0,"1,038,900",32.6,32.6,31.7
31/08/2023,31.55,0,"2,407,100",29,31.55,29
30/08/2023,29.5,0,"1,056,200",29.55,30,29.1
29/08/2023,29.55,0,"1,319,519",29.7,30.3,29.35
28/08/2023,29.35,0,"459,600",29.8,29.8,29.2
25/08/2023,29.5,0,"958,500",29.1,29.8,28.7
24/08/2023,28.65,0,"754,000",28.2,28.65,27.8
23/08/2023,28,0,"391,900",28.7,28.7,28
22/08/2023,28.3,0,"707,600",28.25,28.75,26.85
21/08/2023,28.25,0,"821,200",27.8,28.7,27.65
18/08/2023,27.8,0,"2,185,800",29.2,30.1,27.8
17/08/2023,29.3,0,"1,428,200",30.1,30.1,29.3
16/08/2023,30.1,0,"907,800",30.8,30.8,30
15/08/2023,30.5,0,"915,600",30.45,30.9,30
14/08/2023,30.2,0,"990,100",30.2,30.75,30
11/08/2023,30,0,"1,732,100",29.85,30.55,29.05
10/08/2023,30.6,0,"3,100,500",32.75,32.9,30.6
09/08/2023,32.85,0,"870,700",33.2,33.5,32.8
08/08/2023,33.35,0,"703,000",33.8,34,33.3
07/08/2023,33.7,0,"1,034,500",33.45,34.3,33.3
04/08/2023,33.45,0,"795,600",33.7,33.7,33.05
03/08/2023,33.5,0,"1,286,600",32.4,33.5,32.3
02/08/2023,32.55,0,"776,900",32.3,33.2,32.3
01/08/2023,32.5,0,"935,200",33.5,33.6,32.5
31/07/2023,33.35,0,"2,897,100",31,33.35,30.75
28/07/2023,31.2,0,"1,266,200",30.95,31.45,30.8
27/07/2023,30.7,0,"1,057,500",31,31.3,30.5
26/07/2023,31,0,"805,200",30.9,31.8,30.8
25/07/2023,30.9,0,"1,165,000",31.6,31.6,30.85
24/07/2023,31.65,0,"966,300",32.2,32.2,31.3
21/07/2023,31.85,0,"787,400",32,32.35,31.65
20/07/2023,31.7,0,"1,248,000",30.7,31.85,30.5
